genre_name,playlist_name,spotify_id
australian rock,Rock Classics,37i9dQZF1DWXRqgorJj26U
old school thrash,Old School Thrash (80's to early 90's),6vAPvqD99zv5AJFL0LxJU6
latin christian,Latin Christian music,5G8l4P7K2wAnhNPhlVZafR
escape room,This Is Escape the Fate,37i9dQZF1DZ06evO3aG8wM
thrash metal,Best of Trash Metal,7ev61Rzet60MgAr3udL2i1
symphonic rock,SYMPHONIC ROCK,6UtqB8mKIXQI7SYWkNCCl4
chicago drill,Chicago Drill,6D0bEPmnluaWDGvGX04CXA
girl group,girl group anthems  + other female empowerment favs,0r6vHsW9I21ydPv8RjDQ8L
reggae,Reggaeton 2023 😍 🔥,03sDEv7FN58Mb9CJOs1Tgn
dutch edm,Dutch EDM 🇳🇱,5eW20MRvOeSxbEsFkrYV0j
pop argentino,Pop Argentino y Latino 2023 EXITOS,2Y9w2UBAkKo5UcvDGmxcZa
punjabi hip hop,Punjabi Hip Hop,2z8PwZyWqgbJhl2KLvgrbk
southern rock,Southern Rock,37i9dQZF1DXbDjX0hus3Iu
dutch hip hop,Beste van Woordenschat,37i9dQZF1DX5m9q4vz1iyO
turkish trap,NKVT,37i9dQZF1DXdnOj1VEuhgb
sophisti-pop,Synthpop Classics ,37i9dQZF1DWU1f2CQHNexG
rap rock,Rap 'n' Roll,37i9dQZF1DX89XXHpIgTCJ
modern blues rock,Modern Blues Rock,37i9dQZF1DX7Y7BqFok9IQ
polish trap,Polish Trap 🤙🇵🇱,4QldTR6iqmUePOCq7KquMW
pittsburgh rap,Pittsburgh Rap,2anv9Wvvyi810EXuyZOAwD
candy pop,This Is Lil Candy Paint,37i9dQZF1DZ06evO4hxMUF
lilith,🌑🖤🐍Lilith🐍🖤🌑,2AVIIK37w3Uu9zYQm8AvdI
canadian rock,Canadian Rock - 90's-2k's,0X0aBXOGASsLw8mcW73xYx
aesthetic rap,Aesthetic Rap,2vztwgHYan6TggNQnfcUJz
melodic drill,MELODIC DRILL,0eGN5ZZHLGRoJ1uppCUk6p
otacore,This Is Otoboke Beaver,37i9dQZF1DZ06evO0lGYW4
thai pop,Hot Hits Thailand,37i9dQZF1DXc51TI5dx7RC
shoegaze,Shoegaze Classics,37i9dQZF1DX6ujZpAN0v9r
new americana,Breakout Country,37i9dQZF1DWW7RgkOJG32Y
philly rap,Philly Rap,5jd15BW38U5Cm4ulu98V6L
kleine hoerspiel,The Sound of Kleine Hoerspiel,27XLynMa4krkiA9piuqyT1
rap latina,copy nd paste latina 💸,1ZrRmfoF8M2o31JEnBAPeT
sad lo-fi,Sad lo-fi songs💔,2j24aeCYdQ5YY4EUALGUlK
rockabilly,Rockabilly,37i9dQZF1DX47i8ytbYGJE
compositional ambient,Compositional Ambient,06dxdOgq7076SnSLStgTdq
trip hop,Trip Hop,37i9dQZF1DWVXbA4kjkg6G
alternative dance,Alternative Dance,3rSeKZTfsrB1w6ZJNL5DVs
phonk brasileiro,Phonk brasileiro 👺👺,2lIMZKp93jNBlTqHfu5DT7
modern indie pop,Indie Pop,37i9dQZF1DWWEcRhUVtL8n
screamo,"screaming, crying, sliding down the wall",3Mgdbs84it0UaG2YLNfgOy
neo-psychedelic,Neo-Psychedelic Rock,37i9dQZF1DX7k3T9O9bscd
lo-fi study,Lo Fi Study | Work 2023,6N05aHELD8g8v4k3uja6ag
la indie,La Indie #LaIndie FM,6URrZC2HRXT1OPiZpJL7yb
afropop,Afropop,37i9dQZF1DWYs2pvwxWA7l
funk paulista,FUNK PAULISTA 2023 🔥💨,5vaOoBMijdf2GNEjmv6IZ0
roots reggae,Roots Reggae,53iDeoyHodextygU8wpras
chill house,Lounge - Soft House,37i9dQZF1DX82pCGH5USnM
acoustic pop,Acoustic Pop,37i9dQZF1DWWxrt1tiKYiX
nyc rap,NYC RAP,6AA44bAQIxrMUVQO6OpLIx
musica chihuahuense,Música chihuahuense,0Z8DKaXA5B7GeUYA5C98KK
nova mpb,NOVA MPB,5XTDWm1y30Gce9NyzS0a5w
bossa nova,Bossa Nova,37i9dQZF1DX4AyFl3yqHeK
afrofuturism,Afro Psychedelica,37i9dQZF1DWVyizF9BJ61m
world worship,Live Worship 2023,3l24LtoWiuvdcd0f1Qr3e5
madchester,MADCHESTER,3MdscCBVyBUNiX79xTNmKA
socal pop punk,SoCal Punk Pop,6tkZfIjqP14x9ZD3zN1yya
merseybeat,The Sound of Merseybeat,2FE5Q5imNlAYRKubRHOuE8
funk consciente,Funk Consciente,37i9dQZF1DX9We8dK817NX
groove metal,Ultimate Groove Metal,24y2slE56YDOTR2t4Zr1lR
classic italian pop,The Perfect Italian Dinner,37i9dQZF1DWT1R6bXL4dyW
spanish pop rock,2000s spanish pop/rock,2iKCZGKx3ZsFdIk9IpjjRD
power metal,This is Power Metal,0iOa5L4dLdpeIgtEttO6Iw
rock nacional brasileiro,Rock Nacional Brasileiro,20pskBY0a9IljMLJqnoIzG
pixie,🪷✨Pixie hollow vibes ✨🌳,4o3Nw73rANutmJHJHfCVug
industrial rock,Industrial Rock,4sKEgfrotpSzWv1TmDZdHn
rap marseille,Rap Marseille ,2xsyO6GwNpT8Zo7W1iBZ9e
tennessee hip hop,Southern Hip Hop Classics,4qaDUlC8dCEL2Boz9eQX0q
lo-fi indie,Lo-fi Indie,37i9dQZF1DX0CIO5EOSHeD
tejano,Tejano Classics,37i9dQZF1DX6wQVfUHI1zt
ska argentino,Ska Argentino🇦🇷,4DGvXHIo918DUbyuDSnZqv
dutch pop,Liever Hollands,37i9dQZF1DX3fVDvRBemdr
german dance,German💃Dancehall | Was macht Gzuz? - GZUZ,5uLTF0GAaWbqEctfcG5Sqh
sad rap,Sad Rap,4Ao85ZB0F474SYUelDH1Xi
lounge,Lounge - Soft House,37i9dQZF1DX82pCGH5USnM
filter house,Filter House / Nu-Disco / French,6V4Wa21OHlJTrTxLAwkmNm
german techno,German Techno / Deutscher Techno,1Ay9swD1qhGfKfYrRaJuFA
vapor trap,Vapor Trap ☔️🧛🏿,747GCxocZcVMNx7LjMC4v5
danish pop,Danske favoritter,37i9dQZF1DX5622XLsm5RS
trap funk,Trap funk,4P9RB8F3HbMZ9sBG8JEqW9
indie pop rap,VIRAL 50 - UNDERGROUND AND TRENDING - TOP 40 - INDIE  - POP - RAP -COUNTRY - ROCK - GENRE MIX,1x7kixO9vmy8j6NqIt6kRb
